"unigram","bigram","freq"
"the","recovery",4
"the","retail",4
"the","return",4
"the","rock",4
"the","roof",4
"the","running",4
"the","safe",4
"the","saints",4
"the","sand",4
"the","scenes",4
"the","schedule",4
"the","scope",4
"the","script",4
"the","scriptures",4
"the","search",4
"the","seasons",4
"the","seven",4
"the","shade",4
"the","sheet",4
"the","ship",4
"the","shopping",4
"the","shore",4
"the","sidewalk",4
"the","sign",4
"the","soil",4
"the","soul",4
"the","spiritual",4
"the","stands",4
"the","starting",4
"the","station",4
"the","storm",4
"the","stress",4
"the","stuff",4
"the","suspect",4
"the","tale",4
"the","target",4
"the","teacher",4
"the","terms",4
"the","text",4
"the","threat",4
"the","ticket",4
"the","tigers",4
"the","timing",4
"the","titans",4
"the","toilet",4
"the","topic",4
"the","towers",4
"the","tragedy",4
"the","tree",4
"the","trial",4
"the","tribe",4
"the","trick",4
"the","trigger",4
"the","twitter",4
"the","un",4
"the","unemployment",4
"the","union",4
"the","unique",4
"the","usual",4
"the","vampire",4
"the","vatican",4
"the","victim",4
"the","views",4
"the","waters",4
"the","ways",4
"the","web",4
"the","wonderful",4
"the","workplace",4
"the","yard",4
"the","zucchini",4
"their","body",4
"their","friends",4
"their","jobs",4
"their","kids",4
"their","names",4
"their","necks",4
"their","work",4
"them","again",4
"them","both",4
"them","if",4
"them","more",4
"them","off",4
"them","up",4
"them","were",4
"them","whole",4
"themselves","and",4
"then","add",4
"then","in",4
"then","on",4
"then","that",4
"then","to",4
"therapy","and",4
"there","an",4
"there","that",4
"there","we",4
"theres","just",4
"theres","one",4
"these","last",4
"these","people",4
"these","words",4
"they","always",4
"they","be",4
"they","come",4
"they","even",4
"they","feel",4
"they","hadnt",4
"they","left",4
"they","like",4
"they","not",4
"they","play",4
"they","received",4
"they","see",4
"they","sold",4
"they","spent",4
"they","use",4
"they","used",4
"they","werent",4
"they","worked",4
"theyre","a",4
"thing","if",4
"thing","it",4
"thing","she",4
"things","done",4
"things","have",4
"things","on",4
"think","most",4
"think","my",4
"think","she",4
"think","there",4
"think","were",4
"think","what",4
"thinking","and",4
"this","all",4
"this","am",4
"this","approach",4
"this","at",4
"this","beautiful",4
"this","beer",4
"this","bill",4
"this","by",4
"this","came",4
"this","can",4
"this","card",4
"this","coming",4
"this","doesnt",4
"this","girl",4
"this","happens",4
"this","issue",4
"this","little",4
"this","person",4
"this","planet",4
"this","process",4
"this","reason",4
"this","session",4
"this","set",4
"this","should",4
"this","situation",4
"this","small",4
"this","sounds",4
"this","subject",4
"this","trend",4
"this","winter",4
"those","whose",4
"though","is",4
"though","not",4
"though","she",4
"though","we",4
"thought","we",4
"thought","you",4
"threat","of",4
"thrift","store",4
"through","it",4
"through","your",4
"throwing","a",4
"thursday","i",4
"tickets","for",4
"time","an",4
"time","coming",4
"time","off",4
"time","out",4
"time","since",4
"time","there",4
"time","was",4
"times","for",4
"times","more",4
"times","she",4
"to","analyze",4
"to","apologize",4
"to","apply",4
"to","assist",4
"to","assume",4
"to","chase",4
"to","china",4
"to","clean",4
"to","conduct",4
"to","creating",4
"to","cry",4
"to","delve",4
"to","destroy",4
"to","dig",4
"to","disclose",4
"to","discover",4
"to","distract",4
"to","engage",4
"to","every",4
"to","everything",4
"to","exercise",4
"to","finance",4
"to","forget",4
"to","forgive",4
"to","gauge",4
"to","guess",4
"to","hate",4
"to","heat",4
"to","hide",4
"to","host",4
"to","house",4
"to","hurt",4
"to","i",4
"to","induce",4
"to","introduce",4
"to","invest",4
"to","justify",4
"to","kiss",4
"to","lay",4
"to","local",4
"to","lock",4
"to","long",4
"to","manage",4
"to","marry",4
"to","mayor",4
"to","measure",4
"to","minimize",4
"to","need",4
"to","negotiate",4
"to","note",4
"to","observe",4
"to","or",4
"to","others",4
"to","overcome",4
"to","points",4
"to","proceed",4
"to","question",4
"to","quote",4
"to","rebuild",4
"to","record",4
"to","reflect",4
"to","relax",4
"to","rest",4
"to","roll",4
"to","rule",4
"to","slice",4
"to","slow",4
"to","sound",4
"to","st",4
"to","still",4
"to","stretch",4
"to","strive",4
"to","struggle",4
"to","survive",4
"to","texas",4
"to","themselves",4
"to","things",4
"to","tie",4
"to","to",4
"to","town",4
"to","transfer",4
"to","trust",4
"to","update",4
"to","upgrade",4
"to","wash",4
"to","washington",4
"to","while",4
"to","yourself",4
"today","for",4
"today","its",4
"today","we",4
"tomorrow","and",4
"tonight","and",4
"tonight","we",4
"too","all",4
"too","hard",4
"too","heavy",4
"too","so",4
"took","me",4
"took","off",4
"took","place",4
"took","them",4
"tool","in",4
"top","in",4
"topic","of",4
"totally","forgot",4
"touch","of",4
"tour","and",4
"town","in",4
"traditional","british",4
"traffic","stop",4
"trail","and",4
"train","of",4
"transition","to",4
"transportation","and",4
"traveling","in",4
"trees","and",4
"tried","a",4
"tried","some",4
"trip","was",4
"true","love",4
"truly","a",4
"trust","and",4
"trust","in",4
"truth","about",4
"truth","is",4
"try","not",4
"try","the",4
"tuesday","afternoon",4
"tuesday","night",4
"turn","around",4
"turn","down",4
"turn","into",4
"turned","his",4
"turned","on",4
"tv","on",4
"two","are",4
"two","counts",4
"two","decades",4
"two","games",4
"two","guys",4
"two","things",4
"twothirds","of",4
"u","also",4
"u","and",4
"u","can",4
"u","do",4
"u","want",4
"under","contract",4
"understand","what",4
"union","and",4
"unions","and",4
"unless","i",4
"unless","the",4
"unlike","the",4
"until","a",4
"until","next",4
"until","now",4
"until","smooth",4
"up","against",4
"up","early",4
"up","into",4
"upon","a",4
"us","about",4
"us","airways",4
"us","are",4
"us","army",4
"us","attorneys",4
"us","by",4
"us","citizen",4
"us","economy",4
"us","he",4
"us","if",4
"us","is",4
"us","military",4
"us","this",4
"us","we",4
"use","his",4
"use","these",4
"use","your",4
"used","it",4
"using","it",4
"value","to",4
"vegetables","and",4
"very","curious",4
"very","low",4
"very","nice",4
"very","own",4
"very","popular",4
"very","proud",4
"very","serious",4
"very","seriously",4
"video","game",4
"video","of",4
"violation","of",4
"violence","in",4
"voice","and",4
"voted","to",4
"vowing","to",4
"wait","i",4
"waited","for",4
"waiting","room",4
"waking","up",4
"walked","away",4
"walked","out",4
"walking","down",4
"wanna","go",4
"want","in",4
"want","more",4
"want","some",4
"want","this",4
"warm","up",4
"warm","weather",4
"was","and",4
"was","another",4
"was","appointed",4
"was","back",4
"was","before",4
"was","built",4
"was","designed",4
"was","determined",4
"was","drawn",4
"was","even",4
"was","extremely",4
"was","filled",4
"was","first",4
"was","four",4
"was","he",4
"was","held",4
"was","how",4
"was","immediately",4
"was","impressed",4
"was","interested",4
"was","last",4
"was","later",4
"was","named",4
"was","now",4
"was","once",4
"was","released",4
"was","right",4
"was","running",4
"was","safe",4
"was","set",4
"was","she",4
"was","shot",4
"was","struck",4
"was","talking",4
"was","thinking",4
"was","trying",4
"was","up",4
"was","watching",4
"was","when",4
"was","worth",4
"was","your",4
"washington","the",4
"watched","as",4
"watching","a",4
"water","on",4
"way","but",4
"way","into",4
"way","they",4
"ways","that",4
"we","actually",4
"we","always",4
"we","be",4
"we","become",4
"we","finally",4
"we","heard",4
"we","hit",4
"we","pulled",4
"we","say",4
"we","set",4
"we","talk",4
"we","tried",4
"we","walk",4
"we","walked",4
"we","wont",4
"wear","it",4
"weather","is",4
"website","at",4
"wednesday","that",4
"week","one",4
"week","when",4
"week","with",4
"weekend","for",4
"weekend","is",4
"weekend","with",4
"weeks","before",4
"weeks","i",4
"weeks","in",4
"weeks","on",4
"weigh","in",4
"welcome","back",4
"well","do",4
"well","go",4
"well","keep",4
"well","known",4
"well","let",4
"well","see",4
"well","this",4
"went","from",4
"were","as",4
"were","both",4
"were","even",4
"were","forced",4
"were","given",4
"were","great",4
"were","you",4
"west","virginia",4
"weve","all",4
"what","an",4
"what","im",4
"what","ive",4
"what","made",4
"what","my",4
"what","people",4
"what","sort",4
"what","that",4
"what","weve",4
"when","her",4
"when","this",4
"when","will",4
"where","did",4
"where","im",4
"which","god",4
"which","im",4
"which","includes",4
"which","now",4
"while","but",4
"while","his",4
"while","since",4
"while","some",4
"white","was",4
"who","gave",4
"who","gets",4
"who","got",4
"who","helped",4
"who","in",4
"who","just",4
"who","live",4
"who","lived",4
"who","look",4
"who","loves",4
"who","makes",4
"who","passed",4
"who","really",4
"who","say",4
"who","served",4
"why","am",4
"why","didnt",4
"why","does",4
"why","its",4
"will","all",4
"will","appear",4
"will","become",4
"will","buy",4
"will","check",4
"will","cost",4
"will","enjoy",4
"will","enter",4
"will","grow",4
"will","move",4
"will","notice",4
"will","now",4
"will","of",4
"will","perform",4
"will","present",4
"willingness","to",4
"win","and",4
"win","that",4
"wind","up",4
"winter","park",4
"wish","a",4
"with","another",4
"with","anyone",4
"with","but",4
"with","care",4
"with","cleveland",4
"with","contemporary",4
"with","everything",4
"with","family",4
"with","four",4
"with","god",4
"with","great",4
"with","having",4
"with","high",4
"with","is",4
"with","jesus",4
"with","lots",4
"with","something",4
"with","three",4
"with","to",4
"within","hours",4
"woman","from",4
"women","for",4
"won","an",4
"wonder","why",4
"wonderful","and",4
"wont","let",4
"wont","see",4
"word","and",4
"word","of",4
"words","are",4
"words","the",4
"words","to",4
"work","here",4
"work","this",4
"work","today",4
"work","work",4
"worked","out",4
"workers","to",4
"world","peace",4
"world","was",4
"world","what",4
"worlds","largest",4
"worst","in",4
"worth","a",4
"would","create",4
"would","fall",4
"would","happen",4
"would","know",4
"would","mean",4
"would","only",4
"would","tell",4
"would","want",4
"would","we",4
"wow","this",4
"write","about",4
"ya","dont",4
"yeah","you",4
"year","because",4
"year","for",4
"year","it",4
"year","they",4
"year","with",4
"years","earlier",4
"years","it",4
"years","she",4
"years","since",4
"years","so",4
"years","with",4
"yes","there",4
"yes","you",4
"yet","she",4
"yet","we",4
"york","to",4
"you","down",4
"you","hate",4
"you","it",4
"you","let",4
"you","mean",4
"you","now",4
"you","read",4
"you","run",4
"you","this",4
"you","today",4
"you","we",4
"you","wonder",4
"you","write",4
"youd","think",4
"youll","find",4
"young","and",4
"young","men",4
"your","back",4
"your","bangs",4
"your","copy",4
"your","desk",4
"your","feet",4
"your","house",4
"your","kitchen",4
"your","local",4
"your","love",4
"your","new",4
"your","nose",4
"your","personal",4
"your","profile",4
"your","side",4
"your","support",4
"youre","right",4
"youre","so",4
"youre","the",4
"youre","too",4
"yourself","and",4
"a","back",3
"a","ball",3
"a","beast",3
"a","beating",3
"a","bike",3
"a","body",3
"a","boost",3
"a","boss",3
"a","box",3
"a","boy",3
"a","broken",3
"a","bucket",3
"a","candidate",3
"a","cap",3
"a","cardiac",3
"a","celebrity",3
"a","championship",3
"a","check",3
"a","childrens",3
"a","childs",3
"a","chip",3
"a","client",3
"a","coat",3
"a","cold",3
"a","collection",3
"a","combined",3
"a","committee",3
"a","competitive",3
"a","complaint",3
"a","comprehensive",3
"a","confident",3
"a","consequence",3
"a","conservative",3
"a","conspiracy",3
"a","conversation",3
"a","cookbook",3
"a","cost",3
"a","country",3
"a","credit",3
"a","criminal",3
"a","crisis",3
"a","csection",3
"a","customer",3
"a","cut",3
"a","cutting",3
"a","d",3
"a","dance",3
"a","dead",3
"a","definite",3
"a","democrat",3
"a","design",3
"a","discussion",3
"a","distinctive",3
"a","dj",3
"a","donation",3
"a","dry",3
"a","dummy",3
"a","fabulous",3
"a","facebook",3
"a","factor",3
"a","fee",3
"a","fierce",3
"a","fight",3
"a","flash",3
"a","flight",3
"a","formal",3
"a","foul",3
"a","fourth",3
"a","fouryear",3
"a","french",3
"a","friendly",3
"a","fuck",3
"a","fucking",3
"a","garage",3
"a","gentle",3
"a","giant",3
"a","global",3
"a","golden",3
"a","gop",3
"a","greased",3
"a","grin",3
"a","headache",3
"a","heartbeat",3
"a","hey",3
"a","higher",3
"a","highlight",3
"a","hike",3
"a","hit",3
"a","host",3
"a","hostile",3
"a","hotel",3
"a","hurry",3
"a","inch",3
"a","jew",3
"a","jumper",3
"a","june",3
"a","junior",3
"a","kick",3
"a","kiss",3
"a","language",3
"a","lastminute",3
"a","lawsuit",3
"a","learning",3
"a","legitimate",3
"a","lethal",3
"a","level",3
"a","lie",3
"a","lively",3
"a","load",3
"a","loan",3
"a","longer",3
"a","loved",3
"a","majority",3
"a","mans",3
"a","map",3
"a","march",3
"a","marine",3
"a","medium",3
"a","mentor",3
"a","menu",3
"a","metal",3
"a","middle",3
"a","minor",3
"a","mission",3
"a","mix",3
"a","mothers",3
"a","mountain",3
"a","multiple",3
"a","murder",3
"a","museum",3
"a","music",3
"a","news",3
"a","nonprofit",3
"a","nuclear",3
"a","panel",3
"a","park",3
"a","particularly",3
"a","parttime",3
"a","passenger",3
"a","pedestrian",3
"a","permanent",3
"a","physical",3
"a","piano",3
"a","plate",3
"a","playoff",3
"a","pleasant",3
"a","policy",3
"a","portfolio",3
"a","possibility",3
"a","pound",3
"a","pregnant",3
"a","presence",3
"a","price",3
"a","prison",3
"a","profit",3
"a","prolific",3
"a","promising",3
"a","prostitute",3
"a","purple",3
"a","quarterback",3
"a","rapper",3
"a","rating",3
"a","read",3
"a","reading",3
"a","religious",3
"a","reminder",3
"a","rental",3
"a","reporter",3
"a","request",3
"a","requirement",3
"a","resident",3
"a","respected",3
"a","retro",3
"a","review",3
"a","road",3
"a","room",3
"a","rough",3
"a","rush",3
"a","san",3
"a","sandwich",3
"a","saturday",3
"a","scene",3
"a","scout",3
"a","search",3
"a","season",3
"a","seasonal",3
"a","shared",3
"a","sharp",3
"a","shortage",3
"a","shower",3
"a","situation",3
"a","smooth",3
"a","sneak",3
"a","so",3
"a","soccer",3
"a","sour",3
"a","south",3
"a","space",3
"a","spectacular",3
"a","speeding",3
"a","spokeswoman",3
"a","sports",3
"a","st",3
"a","steak",3
"a","storm",3
"a","strained",3
"a","string",3
"a","students",3
"a","stunning",3
"a","sunday",3
"a","sunny",3
"a","target",3
"a","television",3
"a","term",3
"a","testament",3
"a","text",3
"a","th",3
"a","theater",3
"a","thin",3
"a","thousand",3
"a","tie",3
"a","timeline",3
"a","timely",3
"a","tone",3
"a","tony",3
"a","touch",3
"a","tractor",3
"a","trade",3
"a","trail",3
"a","truly",3
"a","turning",3
"a","twitter",3
"a","twoout",3
"a","twoyear",3
"a","vacation",3
"a","venue",3
"a","viable",3
"a","violent",3
"a","vote",3
"a","warm",3
"a","warning",3
"a","water",3
"a","window",3
"a","wine",3
"a","winter",3
"a","wonder",3
"a","work",3
"a","workshop",3
"a","written",3
"a","younger",3
"abandonment","of",3
"about","but",3
"about","each",3
"about","five",3
"about","for",3
"about","from",3
"about","half",3
"about","i",3
"about","just",3
"about","on",3
"about","pm",3
"about","points",3
"about","six",3
"about","taking",3
"about","years",3
"above","all",3
"above","and",3
"above","that",3
"abundance","of",3
"academy","award",3
"academy","of",3
"acceptance","of",3
"accepted","a",3
"account","you",3
"accounted","for",3
"achieve","a",3
"acknowledged","that",3
"acquired","the",3
"across","from",3
"across","that",3
"act","in",3
"act","like",3
"act","of",3
"action","is",3
"active","in",3
"activities","and",3
"acts","of",3
"actually","have",3
"actually","is",3
"ad","that",3
"added","i",3
"addition","i",3
"adds","a",3
"adds","another",3
"adults","in",3
"adults","who",3
"advice","and",3
"advocate","and",3
"affairs","and",3
"affairs","as",3
"affected","by",3
"affection","for",3
"afford","the",3
"affordable","housing",3
"afghanistan","and",3
"african","americans",3
"after","days",3
"after","each",3
"after","hearing",3
"after","her",3
"after","more",3
"after","pm",3
"after","reading",3
"after","starting",3
"after","your",3
"afternoon","or",3
"afternoon","to",3
"again","as",3
"again","at",3
"again","but",3
"again","we",3
"again","with",3
"against","her",3
"against","his",3
"age","of",3
"age","the",3
"agency","is",3
"agency","said",3
"agency","that",3
"agents","are",3
"ages","and",3
"aggravated","assault",3
"ago","about",3
"ago","it",3
"ago","that",3
"agree","on",3
"agreed","with",3
"agreement","and",3
"agriculture","and",3
"air","and",3
"air","on",3
"akin","to",3
"album","is",3
"alcohol","or",3
"all","ages",3
"all","along",3
"all","americans",3
"all","be",3
"all","came",3
"all","from",3
"all","get",3
"all","heard",3
"all","it",3
"all","live",3
"all","looking",3
"all","made",3
"all","next",3
"all","on",3
"all","should",3
"all","sorts",3
"all","still",3
"all","there",3
"all","they",3
"all","time",3
"all","week",3
"all","what",3
"all","with",3
"allow","for",3
"allow","us",3
"allow","you",3
"allowed","a",3
"allows","me",3
"alone","in",3
"along","and",3
"along","in",3
"alot","of",3
"already","be",3
"already","had",3
"already","know",3
"already","on",3
"already","seen",3
"also","able",3
"also","agreed",3
"also","at",3
"also","considering",3
"also","found",3
"also","if",3
"also","includes",3
"also","like",3
"also","made",3
"also","make",3
"also","more",3
"also","my",3
"also","on",3
"also","provides",3
"also","see",3
"also","think",3
"also","this",3
"also","to",3
"also","would",3
"also","wrote",3
"although","not",3
"although","this",3
"always","good",3
"always","make",3
"always","ready",3
"always","the",3
"am","all",3
"am","at",3
"am","grateful",3
"am","hoping",3
"am","more",3
"am","proud",3
"am","sorry",3
"am","too",3
"am","trying",3
"amazing","and",3
"amazing","how",3
"amazing","things",3
"amazon","for",3
"american","and",3
"american","association",3
"american","citizen",3
"american","crafts",3
"american","dream",3
"american","history",3
"american","legion",3
"american","muslims",3
"americans","who",3
"amid","the",3
"among","many",3
"amy","klobuchar",3
"an","a",3
"an","absolute",3
"an","abundance",3
"an","academy",3
"an","accident",3
"an","administrative",3
"an","advisory",3
"an","aggressive",3
"an","alternative",3
"an","analysis",3
"an","ankle",3
"an","apparent",3
"an","appearance",3
"an","appetizer",3
"an","architect",3
"an","argument",3
"an","atheist",3
"an","author",3
"an","award",3
"an","edge",3
"an","educated",3
"an","egg",3
"an","election",3
"an","electric",3
"an","elite",3
"an","entertaining",3
"an","executive",3
"an","existing",3
"an","expert",3
"an","extended",3
"an","extremely",3
"an","impact",3
"an","impossible",3
"an","impressive",3
"an","independent",3
"an","information",3
"an","innocent",3
"an","instant",3
"an","iphone",3
"an","nfl",3
"an","opinion",3
"an","order",3
"an","orphanage",3
"an","unarmed",3
"an","unexpected",3
"an","unusual",3
"an","update",3
"and","above",3
"and","adam",3
"and","adds",3
"and","age",3
"and","amazon",3
"and","american",3
"and","arizona",3
"and","aromas",3
"and","asking",3
"and","avoid",3
"and","away",3
"and","bake",3
"and","bar",3
"and","beauty",3
"and","been",3
"and","best",3
"and","blowing",3
"and","body",3
"and","bold",3
"and","books",3
"and","brain",3
"and","brian",3
"and","bronze",3
"and","brother",3
"and","brown",3
"and","busch",3
"and","but",3
"and","cake",3
"and","california",3
"and","cannot",3
"and","caught",3
"and","checked",3
"and","child",3
"and","click",3
"and","cold",3
"and","come",3
"and","comes",3
"and","comfortable",3
"and","confident",3
"and","consumers",3
"and","continued",3
"and","control",3
"and","create",3
"and","created",3
"and","crew",3
"and","crystal",3
"and","cultural",3
"and","currently",3
"and","dance",3
"and","days",3
"and","deal",3
"and","defend",3
"and","determined",3
"and","developed",3
"and","discovered",3
"and","distribution",3
"and","doesnt",3
"and","drive",3
"and","drummer",3
"and","eddie",3
"and","energy",3
"and","engaging",3
"and","ever",3
"and","excited",3
"and","experience",3
"and","experiences",3
"and","extended",3
"and","families",3
"and","fear",3
"and","finished",3
"and","fire",3
"and","fired",3
"and","foremost",3
"and","frida",3
"and","friend",3
"and","frozen",3
"and","fruit",3
"and","frustration",3
"and","future",3
"and","game",3
"and","generally",3
"and","goes",3
"and","greek",3
"and","grilled",3
"and","growing",3
"and","guess",3
"and","guide",3
"and","hang",3
"and","hard",3
"and","heading",3
"and","health",3
"and","hear",3
"and","hell",3
"and","hoping",3
"and","hot",3
"and","howard",3
"and","hundreds",3
"and","immediately",3
"and","include",3
"and","increasing",3
"and","influence",3
"and","itll",3
"and","jan",3
"and","jesus",3
"and","keeps",3
"and","knowledge",3
"and","last",3
"and","leaders",3
"and","leadership",3
"and","lee",3
"and","left",3
"and","listen",3
"and","live",3
"and","living",3
"and","looks",3
"and","loving",3
"and","low",3
"and","making",3
"and","management",3
"and","match",3
"and","mentally",3
"and","meters",3
"and","michael",3
"and","middle",3
"and","million",3
"and","mind",3
"and","mix",3
"and","moderate",3
"and","motivation",3
"and","moved",3
"and","music",3
"and","near",3
"and","nearly",3
"and","off",3
"and","oil",3
"and","paint",3
"and","paper",3
"and","parsley",3
"and","part",3
"and","pay",3
"and","peace",3
"and","personal",3
"and","picked",3
"and","placed",3
"and","plays",3
"and","pleaded",3
"and","please",3
"and","points",3
"and","police",3
"and","politics",3
"and","poor",3
"and","probably",3
"and","progress",3
"and","putting",3
"and","quickly",3
"and","reading",3
"and","recently",3
"and","red",3
"and","reduce",3
"and","refrigerate",3
"and","regulations",3
"and","related",3
"and","relatives",3
"and","release",3
"and","remember",3
"and","remind",3
"and","replaced",3
"and","reserved",3
"and","respectively",3
"and","retain",3
"and","safety",3
"and","sat",3
"and","saturday",3
"and","science",3
"and","search",3
"and","seemed",3
"and","send",3
"and","served",3
"and","sets",3
"and","shake",3
"and","shape",3
"and","shared",3
"and","shit",3
"and","show",3
"and","silver",3
"and","simple",3
"and","smooth",3
"and","someone",3
"and","space",3
"and","speaking",3
"and","spend",3
"and","spending",3
"and","steady",3
"and","summer",3
"and","sunday",3
"and","sweet",3
"and","talk",3
"and","talked",3
"and","tea",3
"and","texture",3
"and","thank",3
"and","think",3
"and","thinking",3
"and","tom",3
"and","toss",3
"and","tried",3
"and","turn",3
"and","u",3
"and","use",3
"and","usually",3
"and","various",3
"and","vegetables",3
"and","waited",3
"and","walked",3
"and","wash",3
"and","wed",3
"and","welcome",3
"and","weve",3
"and","whether",3
"and","whose",3
"and","won",3
"and","works",3
"and","writers",3
"and","writing",3
"and","years",3
"and","younger",3
"anderson","will",3
"andrew","mccutchen",3
"android","app",3
"angeles","dodgers",3
"anglican","mission",3
"annoying","when",3
"annual","budget",3
"annual","rate",3
"another","as",3
"another","beer",3
"another","billion",3
"answer","was",3
"answers","i",3
"anxiety","and",3
"any","case",3
"any","idea",3
"any","means",3
"any","new",3
"any","recommendations",3
"any","sense",3
"any","two",3
"anyone","from",3
"anyone","to",3
"anyone","want",3
"anything","a",3
"anything","at",3
"anything","from",3
"anything","more",3
"anyway","im",3
"anyway","the",3
"ap","the",3
"apart","from",3
"apart","the",3
"apartment","in",3
"appealing","to",3
"appeals","for",3
"appearances","in",3
"appears","that",3
"application","of",3
"application","that",3
"applied","for",3
"apply","a",3
"approached","the",3
"appropriate","for",3
"apps","for",3
"april","at",3
"april","in",3
"april","the",3
"arab","spring",3
"are","absolutely",3
"are","accused",3
"are","better",3
"are","by",3
"are","concerned",3
"are","considering",3
"are","dead",3
"are","designed",3
"are","different",3
"are","especially",3
"are","for",3
"are","four",3
"are","giving",3
"are","gone",3
"are","hard",3
"are","here",3
"are","huge",3
"are","innocent",3
"are","invited",3
"are","learning",3
"are","making",3
"are","men",3
"are","never",3
"are","nothing",3
"are","numerous",3
"are","off",3
"are","other",3
"are","over",3
"are","part",3
"are","selling",3
"are","set",3
"are","slightly",3
"are","small",3
"are","sometimes",3
"are","those",3
"are","tied",3
"are","turning",3
"are","u",3
"are","up",3
"are","used",3
"are","useful",3
"are","waiting",3
"are","well",3
"are","with",3
"area","he",3
"area","known",3
"area","so",3
"areas","of",3
"argues","that",3
"around","an",3
"around","since",3
"around","them",3
"around","town",3
"around","when",3
"arrested","by",3
"arrested","in",3
"arrived","to",3
"art","gallery",3
"art","is",3
"art","of",3
"article","about",3
"article","in",3
"artist","who",3
"as","all",3
"as","big",3
"as","chief",3
"as","described",3
"as","fun",3
"as","governor",3
"as","little",3
"as","love",3
"as","low",3
"as","mine",3
"as","more",3
"as","most",3
"as","no",3
"as","people",3
"as","president",3
"as","public",3
"as","quickly",3
"as","simple",3
"as","something",3
"as","taking",3
"as","time",3
"ask","questions",3
"ask","that",3
"ask","to",3
"ask","what",3
"asked","a",3
"asked","by",3
"asked","what",3
"asks","for",3
"asparagus","and",3
"assets","to",3
"assumed","that",3
"at","american",3
"at","ashland",3
"at","ease",3
"at","every",3
"at","is",3
"at","like",3
"at","mac",3
"at","midnight",3
"at","next",3
"at","other",3
"at","per",3
"at","quarterback",3
"at","risk",3
"at","san",3
"at","scottrade",3
"at","so",3
"at","starbucks",3
"at","stores",3
"at","th",3
"at","today",3
"at","under",3
"at","various",3
"at","war",3
"attack","the",3
"attempts","at",3
"austerity","measures",3
"austin","and",3
"austin","this",3
"author","who",3
"authorities","say",3
"authority","on",3
"authority","over",3
"authors","and",3
"available","from",3
"available","the",3
"average","in",3
"avid","reader",3
"avoid","the",3
"awaiting","the",3
"away","as",3
"away","he",3
"awesome","i",3
"baby","is",3
"bachelors","degree",3
"back","its",3
"back","now",3
"back","off",3
"back","they",3
"back","when",3
"backing","up",3
"bacon","and",3
"bad","as",3
"bad","for",3
"bad","it",3
"bad","news",3
"bad","romance",3
"bags","and",3
"baking","powder",3
"bakkie","i",3
"bald","eagle",3
"balls","in",3
"ban","on",3
"band","and",3
"band","i",3
"band","the",3
"bar","has",3
"barack","obamas",3
"barbed","wire",3
"bargaining","agreement",3
"barnes","and",3
"baseball","game",3
"bases","in",3
"basically","a",3
"basketball","team",3
"bats","in",3
"battle","to",3
"bay","area",3
"be","accepted",3
"be","addressed",3
"be","allowed",3
"be","and",3
"be","anxious",3
"be","any",3
"be","anything",3
"be","asked",3
"be","aware",3
"be","bought",3
"be","broadcast",3
"be","broken",3
"be","built",3
"be","complete",3
"be","effective",3
"be","extremely",3
"be","familiar",3
"be","fine",3
"be","forgotten",3
"be","friends",3
"be","from",3
"be","glad",3
"be","heard",3
"be","her",3
"be","highly",3
"be","his",3
"be","i",3
"be","ignored",3
"be","kept",3
"be","let",3
"be","living",3
"be","mad",3
"be","moved",3
"be","nothing",3
"be","noticed",3
"be","okay",3
"be","opened",3
"be","other",3
"be","outside",3
"be","paid",3
"be","perfect",3
"be","possible",3
"be","pretty",3
"be","safe",3
"be","saved",3
"be","selling",3
"be","sent",3
"be","shown",3
"be","sick",3
"be","spent",3
"be","stored",3
"be","subjected",3
"be","talking",3
"be","together",3
"be","up",3
"be","when",3
"be","willing",3
"be","written",3
"be","yourself",3
"beard","and",3
"bears","and",3
"beastie","boys",3
"beautiful","day",3
"became","an",3
"because","a",3
"because","hes",3
"because","his",3
"because","no",3
"because","shes",3
"because","someone",3
"because","that",3
"because","theyre",3
"because","why",3
"become","so",3
"becoming","more",3
"bed","i",3
"bed","of",3
"been","any",3
"been","around",3
"been","busy",3
"been","called",3
"been","charged",3
"been","cut",3
"been","done",3
"been","feeling",3
"been","given",3
"been","great",3
"been","having",3
"been","home",3
"been","indicted",3
"been","left",3
"been","listening",3
"been","making",3
"been","married",3
"been","much",3
"been","published",3
"been","really",3
"been","sitting",3
"been","talking",3
"been","thinking",3
"been","too",3
"been","tough",3
"been","under",3
"been","years",3
"beer","is",3
"beer","to",3
"before","giving",3
"before","him",3
"before","in",3
"before","leaving",3
"before","moving",3
"before","starting",3
"before","us",3
"began","in",3
"began","working",3
"begin","and",3
"begin","by",3
"behavior","is",3
"behind","by",3
"behind","i",3
"being","developed",3
"being","made",3
"being","so",3
"being","sold",3
"being","there",3
"being","too",3
"being","treated",3
"believe","he",3
"believe","me",3
"believe","they",3
"believe","this",3
"believe","you",3
"believer","in",3
"believing","that",3
"belongs","to",3
"below","to",3
"beneficial","to",3
"benefit","from",3
"beside","the",3
"besides","the",3
"best","at",3
"best","day",3
"best","in",3
"best","known",3
"best","you",3
"better","able",3
"better","job",3
"better","life",3
"better","lol",3
"better","or",3
"better","start",3
"better","that",3
"better","when",3
"between","an",3
"between","my",3
"between","them",3
"between","us",3
"beyond","our",3
"big","enough",3
"big","move",3
"big","or",3
"big","red",3
"big","trip",3
"bigger","picture",3
"biggest","fan",3
"bill","of",3
"billig","was",3
