"unigram","bigram","trigram","freq"
"one","of","the",164
"a","lot","of",150
"to","be","a",80
"some","of","the",75
"going","to","be",73
"it","was","a",73
"part","of","the",71
"out","of","the",70
"the","end","of",70
"as","well","as",67
"i","want","to",64
"be","able","to",60
"the","first","time",56
"i","dont","know",52
"you","have","to",52
"thanks","for","the",51
"end","of","the",50
"a","couple","of",49
"this","is","a",47
"the","fact","that",45
"there","is","no",45
"i","had","a",44
"at","the","end",43
"i","have","to",43
"there","is","a",42
"to","have","a",42
"is","going","to",41
"for","the","first",40
"i","have","a",40
"a","bit","of",39
"the","rest","of",39
"you","want","to",39
"i","had","to",38
"in","the","first",38
"it","is","a",38
"it","would","be",38
"most","of","the",38
"to","make","a",38
"in","order","to",37
"according","to","the",36
"i","need","to",36
"in","the","world",36
"the","united","states",36
"you","have","a",36
"i","dont","think",35
"in","front","of",34
"to","be","the",34
"im","going","to",33
"more","than","a",33
"thank","you","for",33
"because","of","the",32
"to","go","to",32
"to","make","it",32
"as","much","as",31
"at","the","time",31
"dont","want","to",31
"have","to","be",31
"i","wanted","to",31
"is","one","of",31
"of","the","day",31
"want","to","be",31
"a","long","time",30
"back","to","the",30
"if","you","are",30
"this","is","the",30
"and","i","have",29
"of","the","most",29
"of","the","year",29
"one","of","my",29
"i","have","been",28
"in","new","york",28
"in","the","s",28
"it","will","be",28
"rest","of","the",28
"that","i","have",28
"to","do","with",28
"all","of","the",27
"as","part","of",27
"i","am","a",27
"i","am","not",27
"to","get","a",27
"were","going","to",27
"when","i","was",27
"and","i","was",26
"as","long","as",26
"at","the","same",26
"cant","wait","to",26
"if","you","want",26
"in","the","morning",26
"in","the","same",26
"it","in","the",26
"not","going","to",26
"would","like","to",26
"looking","forward","to",25
"a","series","of",24
"all","the","way",24
"by","the","time",24
"to","make","sure",24
"was","going","to",24
"we","have","a",24
"and","it","was",23
"i","feel","like",23
"i","think","i",23
"if","you","dont",23
"in","the","past",23
"on","the","other",23
"the","same","time",23
"we","need","to",23
"have","a","great",22
"i","think","its",22
"it","can","be",22
"needs","to","be",22
"side","of","the",22
"we","have","to",22
"all","the","time",21
"go","to","the",21
"is","not","a",21
"need","to","be",21
"that","i","had",21
"the","number","of",21
"when","it","comes",21
"would","be","a",21
"a","few","years",20
"are","going","to",20
"for","the","follow",20
"going","to","get",20
"i","dont","have",20
"in","addition","to",20
"in","the","face",20
"is","that","the",20
"it","is","the",20
"of","the","best",20
"that","would","be",20
"the","top","of",20
"the","university","of",20
"there","was","a",20
"to","get","the",20
"up","on","the",20
"and","i","am",19
"and","of","course",19
"as","soon","as",19
"but","it","was",19
"it","comes","to",19
"its","going","to",19
"of","the","new",19
"the","next","day",19
"to","be","in",19
"to","do","it",19
"to","find","out",19
"to","see","you",19
"to","take","a",19
"a","chance","to",18
"a","group","of",18
"at","a","time",18
"but","it","is",18
"he","was","a",18
"i","have","no",18
"i","will","be",18
"if","you","have",18
"in","other","words",18
"in","the","united",18
"is","the","best",18
"it","was","the",18
"let","me","know",18
"the","middle","of",18
"to","be","able",18
"to","deal","with",18
"to","see","the",18
"you","need","to",18
"a","member","of",17
"and","all","the",17
"away","from","the",17
"based","on","the",17
"cant","wait","for",17
"for","me","to",17
"i","dont","want",17
"i","like","to",17
"i","think","it",17
"i","thought","i",17
"i","would","have",17
"i","would","like",17
"if","you","can",17
"in","my","life",17
"in","terms","of",17
"in","the","second",17
"is","a","great",17
"it","has","been",17
"it","to","the",17
"look","at","the",17
"many","of","the",17
"members","of","the",17
"much","of","the",17
"percent","of","the",17
"said","he","was",17
"the","new","york",17
"the","opportunity","to",17
"the","way","to",17
"there","was","no",17
"there","will","be",17
"we","want","to",17
"a","few","days",16
"a","part","of",16
"be","in","the",16
"bit","of","a",16
"check","out","the",16
"didnt","want","to",16
"do","you","have",16
"do","you","think",16
"has","been","a",16
"have","no","idea",16
"he","said","the",16
"i","cant","wait",16
"i","hope","you",16
"i","know","that",16
"i","thought","it",16
"i","was","a",16
"in","the","city",16
"in","the","middle",16
"it","is","not",16
"need","to","get",16
"new","york","city",16
"of","the","other",16
"of","the","season",16
"on","the","road",16
"on","top","of",16
"supposed","to","be",16
"the","face","of",16
"the","other","hand",16
"to","check","out",16
"to","do","so",16
"to","get","to",16
"to","see","what",16
"want","you","to",16
"we","will","be",16
"would","love","to",16
"you","dont","know",16
"a","list","of",15
"a","little","more",15
"a","number","of",15
"and","in","the",15
"around","the","world",15
"as","one","of",15
"dont","have","to",15
"for","those","who",15
"go","back","to",15
"he","said","he",15
"he","wants","to",15
"i","know","i",15
"i","love","you",15
"im","not","sure",15
"in","a","small",15
"in","the","country",15
"in","the","last",15
"is","expected","to",15
"is","in","the",15
"just","have","to",15
"of","a","new",15
"of","all","the",15
"one","of","those",15
"part","of","a",15
"so","you","can",15
"that","it","is",15
"that","there","is",15
"the","back","of",15
"there","are","no",15
"they","want","to",15
"thought","it","was",15
"to","all","the",15
"to","create","a",15
"want","to","do",15
"was","in","the",15
"what","to","do",15
"will","be","a",15
"would","have","to",15
"you","dont","have",15
"a","little","bit",14
"all","over","the",14
"at","the","moment",14
"at","the","top",14
"back","in","the",14
"can","be","a",14
"for","a","while",14
"for","the","next",14
"going","to","have",14
"i","want","you",14
"i","would","be",14
"id","like","to",14
"im","done","with",14
"in","the","us",14
"is","a","good",14
"is","on","the",14
"it","was","not",14
"its","hard","to",14
"over","the","past",14
"that","i","am",14
"that","you","can",14
"the","idea","of",14
"the","majority","of",14
"the","most","important",14
"the","name","of",14
"to","become","a",14
"to","do","this",14
"to","see","how",14
"to","try","to",14
"top","of","the",14
"up","to","the",14
"what","do","you",14
"youre","going","to",14
"a","look","at",13
"a","piece","of",13
"and","i","had",13
"and","the","other",13
"any","of","the",13
"as","far","as",13
"because","it","was",13
"director","of","the",13
"for","a","long",13
"had","a","lot",13
"had","to","be",13
"have","to","do",13
"he","said","i",13
"i","am","going",13
"i","got","a",13
"i","love","the",13
"i","was","in",13
"in","a","few",13
"in","love","with",13
"in","your","life",13
"it","looks","like",13
"no","matter","what",13
"of","my","life",13
"of","the","house",13
"on","the","floor",13
"that","he","was",13
"that","i","was",13
"that","we","can",13
"the","cost","of",13
"the","department","of",13
"the","second","half",13
"the","st","louis",13
"them","in","the",13
"to","be","on",13
"to","have","the",13
"to","have","to",13
"to","keep","the",13
"to","look","at",13
"to","talk","to",13
"want","to","get",13
"which","is","a",13
"will","continue","to",13
"with","the","same",13
"would","have","been",13
"a","bunch","of",12
"a","great","time",12
"a","lot","to",12
"a","trip","to",12
"a","variety","of",12
"a","year","ago",12
"all","of","you",12
"am","to","pm",12
"and","i","would",12
"and","it","is",12
"and","that","the",12
"and","will","be",12
"are","trying","to",12
"at","the","university",12
"at","this","point",12
"be","a","good",12
"be","sure","to",12
"but","i","think",12
"by","the","way",12
"come","up","with",12
"do","you","know",12
"do","you","want",12
"for","a","few",12
"god","but","allah",12
"have","a","lot",12
"have","been","a",12
"he","is","a",12
"i","have","never",12
"i","need","a",12
"i","used","to",12
"i","was","going",12
"i","went","to",12
"i","would","love",12
"if","it","is",12
"in","the","future",12
"is","a","very",12
"is","no","god",12
"it","could","be",12
"its","not","a",12
"its","time","to",12
"look","forward","to",12
"looking","for","a",12
"member","of","the",12
"no","god","but",12
"no","matter","how",12
"of","the","game",12
"of","the","world",12
"out","to","the",12
"over","the","next",12
"said","in","a",12
"said","it","was",12
"so","i","was",12
"that","there","are",12
"that","was","a",12
"the","amount","of",12
"the","federal","government",12
"the","only","one",12
"the","people","who",12
"the","person","who",12
"the","price","of",12
"the","same","as",12
"this","is","an",12
"to","be","honest",12
"to","give","the",12
"to","listen","to",12
"to","make","the",12
"to","work","on",12
"to","work","with",12
"up","with","a",12
"was","one","of",12
"you","can","see",12
"you","will","be",12
"a","few","weeks",11
"a","man","who",11
"a","matter","of",11
"a","pair","of",11
"a","result","of",11
"a","way","to",11
"about","percent","of",11
"all","of","us",11
"am","going","to",11
"and","i","think",11
"and","there","was",11
"are","in","the",11
"as","a","result",11
"but","if","you",11
"dont","have","a",11
"dont","know","how",11
"due","to","the",11
"for","me","i",11
"for","more","than",11
"for","the","last",11
"for","us","to",11
"going","to","the",11
"grew","up","in",11
"happens","to","be",11
"has","to","be",11
"have","to","say",11
"he","has","a",11
"head","of","the",11
"him","in","the",11
"i","am","so",11
"i","believe","that",11
"i","do","not",11
"i","dont","care",11
"i","had","the",11
"if","i","had",11
"in","recent","years",11
"in","such","a",11
"in","the","book",11
"in","the","house",11
"is","the","first",11
"is","the","most",11
"its","easy","to",11
"just","a","few",11
"lot","of","things",11
"not","to","mention",11
"of","course","the",11
"of","the","us",11
"one","of","these",11
"or","at","least",11
"out","for","the",11
"out","in","the",11
"out","of","a",11
"people","in","the",11
"president","of","the",11
"seem","to","be",11
"so","i","dont",11
"thanks","so","much",11
"that","can","be",11
"that","is","why",11
"the","chance","to",11
"the","first","quarter",11
"the","last","two",11
"the","lives","of",11
"the","loss","of",11
"the","only","thing",11
"the","past","two",11
"the","s","and",11
"the","start","of",11
"the","story","of",11
"the","use","of",11
"the","white","house",11
"there","are","a",11
"this","is","what",11
"those","who","have",11
"time","of","year",11
"to","all","of",11
"to","find","a",11
"to","get","my",11
"to","know","that",11
"to","take","the",11
"to","tell","you",11
"to","the","new",11
"trying","to","make",11
"up","in","the",11
"up","with","the",11
"want","to","go",11
"was","able","to",11
"what","are","you",11
"wish","i","could",11
"with","all","the",11
"you","can","do",11
"you","for","the",11
"you","know","that",11
"you","know","what",11
"a","picture","of",10
"a","sense","of",10
"a","ton","of",10
"all","of","our",10
"along","the","way",10
"along","with","a",10
"an","opportunity","to",10
"and","a","few",10
"and","i","dont",10
"and","if","you",10
"and","then","i",10
"and","try","to",10
"are","able","to",10
"bear","witness","that",10
"being","able","to",10
"but","i","have",10
"but","there","is",10
"could","be","a",10
"could","have","been",10
"couple","of","weeks",10
"did","you","know",10
"dont","know","if",10
"early","in","the",10
"even","if","it",10
"first","time","in",10
"for","a","new",10
"for","all","of",10
"for","some","reason",10
"for","the","most",10
"for","the","rest",10
"for","the","rt",10
"for","them","to",10
"front","of","the",10
"going","to","do",10
"had","no","idea",10
"here","are","a",10
"how","are","you",10
"how","do","you",10
"i","am","sure",10
"i","bear","witness",10
"i","didnt","have",10
"i","didnt","know",10
"i","think","that",10
"i","think","the",10
"i","try","to",10
"im","not","a",10
"in","a","large",10
"in","the","dark",10
"in","the","end",10
"in","the","third",10
"in","the","top",10
"is","also","a",10
"is","scheduled","to",10
"it","does","not",10
"it","was","so",10
"just","need","to",10
"little","more","than",10
"live","in","a",10
"may","be","a",10
"more","and","more",10
"no","one","is",10
"no","one","was",10
"of","the","book",10
"of","the","family",10
"of","you","who",10
"on","behalf","of",10
"on","the","back",10
"on","the","field",10
"on","the","same",10
"on","the","way",10
"out","of","it",10
"out","to","be",10
"over","the","years",10
"said","he","has",10
"seems","to","be",10
"so","much","for",10
"take","care","of",10
"that","he","had",10
"that","he","is",10
"that","i","can",10
"that","i","dont",10
"that","i","would",10
"that","if","you",10
"that","it","was",10
"that","kind","of",10
"that","you","are",10
"the","ability","to",10
"the","beginning","of",10
"the","best","of",10
"the","block","of",10
"the","bottom","of",10
"the","city","and",10
"the","city","of",10
"the","death","of",10
"the","importance","of",10
"the","kind","of",10
"the","lack","of",10
"the","last","time",10
"the","next","few",10
"the","same","thing",10
"the","time","of",10
"the","time","to",10
"the","way","it",10
"there","are","some",10
"they","need","to",10
"this","is","my",10
"this","time","of",10
"this","will","be",10
"those","of","you",10
"time","for","a",10
"to","do","the",10
"to","figure","out",10
"to","get","back",10
"to","me","and",10
"to","pay","for",10
"to","say","that",10
"to","see","if",10
"to","see","it",10
"to","set","up",10
"to","think","of",10
"up","for","the",10
"want","to","make",10
"we","had","a",10
"went","to","the",10
"were","in","the",10
"whats","going","on",10
"who","want","to",10
"will","be","held",10
"will","not","be",10
"a","few","of",9
"a","good","thing",9
"a","good","time",9
"a","great","place",9
"a","heart","attack",9
"a","really","good",9
"according","to","a",9
"all","of","them",9
"and","a","lot",9
"and","that","he",9
"and","this","is",9
"and","we","will",9
"and","you","will",9
"are","supposed","to",9
"are","you","doing",9
"between","the","two",9
"but","at","the",9
"but","he","was",9
"by","the","end",9
"chairman","of","the",9
"check","it","out",9
"day","of","the",9
"dont","know","what",9
"each","of","the",9
"even","if","the",9
"few","years","ago",9
"for","a","good",9
"for","him","to",9
"for","more","information",9
"for","the","past",9
"for","those","of",9
"get","back","to",9
"great","place","to",9
"had","to","do",9
"half","of","the",9
"happy","mothers","day",9
"have","been","the",9
"his","or","her",9
"i","decided","to",9
"i","get","to",9
"i","have","the",9
"i","wish","i",9
"in","a","row",9
"in","st","louis",9
"in","the","area",9
"in","the","case",9
"in","the","game",9
"in","the","late",9
"in","the","next",9
"in","the","process",9
"in","the","state",9
"involved","in","the",9
"is","likely","to",9
"is","no","longer",9
"is","not","the",9
"is","part","of",9
"it","has","a",9
"its","a","good",9
"its","a","great",9
"its","been","a",9
"just","want","to",9
"just","wanted","to",9
"likely","to","be",9
"looking","at","the",9
"lot","of","people",9
"more","of","a",9
"more","or","less",9
"more","than","million",9
"need","to","do",9
"not","want","to",9
"of","the","first",9
"of","the","same",9
"of","the","story",9
"of","the","way",9
"of","the","worlds",9
"of","thousands","of",9
"off","with","a",9
"out","of","his",9
"out","of","my",9
"over","the","last",9
"part","of","my",9
"please","please","please",9
"said","he","had",9
"seems","to","have",9
"she","has","a",9
"should","not","be",9
"so","much","better",9
"such","as","the",9
"that","is","not",9
"that","it","would",9
"that","they","would",9
"that","we","have",9
"the","board","of",9
"the","book","is",9
"the","book","of",9
"the","good","news",9
"the","hands","of",9
"the","one","who",9
"the","risk","of",9
"the","side","of",9
"the","size","of",9
"the","time","i",9
"they","have","a",9
"to","come","up",9
"to","do","a",9
"to","find","the",9
"to","return","to",9
"to","say","the",9
"to","stay","in",9
"to","the","right",9
"to","use","the",9
"trying","to","get",9
"wait","to","see",9
"was","a","bit",9
"was","the","first",9
"way","to","the",9
"we","all","know",9
"we","got","to",9
"we","had","to",9
"we","have","the",9
"we","went","to",9
"well","as","the",9
"went","on","to",9
"what","we","do",9
"when","you","have",9
"will","be","the",9
"you","are","a",9
"you","can","find",9
"you","for","your",9
"you","look","at",9
"you","think","you",9
"a","few","minutes",8
"a","few","times",8
"a","good","day",8
"a","great","day",8
"a","handful","of",8
"addition","to","the",8
"and","all","of",8
"and","has","a",8
"and","he","said",8
"and","i","are",8
"and","one","of",8
"and","then","the",8
"and","then","theres",8
"and","they","are",8
"are","a","few",8
"are","a","lot",8
"around","the","house",8
"as","i","can",8
"as","it","was",8
"at","some","point",8
"at","the","door",8
"back","on","the",8
"because","i","was",8
"been","able","to",8
"best","way","to",8
"bottom","of","the",8
"but","i","cant",8
"but","i","know",8
"but","i","was",8
"control","of","the",8
"do","with","the",8
"done","with","the",8
"expected","to","be",8
"find","a","way",8
"for","at","least",8
"for","the","city",8
"get","out","of",8
"give","me","a",8
"go","to","a",8
"going","to","make",8
"had","a","great",8
"has","been","the",8
"he","was","in",8
"he","was","the",8
"headed","to","the",8
"here","and","there",8
"here","is","a",8
"i","can","do",8
"i","can","see",8
"i","could","not",8
"i","did","a",8
"i","dont","even",8
"i","dont","like",8
"i","dont","really",8
"i","got","to",8
"i","had","no",8
"i","have","had",8
"i","havent","been",8
"i","like","the",8
"i","love","it",8
"i","love","my",8
"i","saw","the",8
"i","should","be",8
"i","thought","that",8
"i","tried","to",8
"i","was","not",8
"i","was","so",8
"if","i","could",8
"if","i","was",8
"im","trying","to",8
"in","a","new",8
"in","a","way",8
"in","a","while",8
"in","los","angeles",8
"in","my","opinion",8
"in","new","jersey",8
"in","the","air",8
"in","the","early",8
"in","the","fourth",8
"in","the","new",8
"in","this","case",8
"interest","in","the",8
"is","in","a",8
"is","out","of",8
"is","trying","to",8
"is","what","i",8
"it","as","a",8
"it","at","the",8
"it","in","a",8
"it","is","time",8
"it","on","the",8
"it","should","be",8
"it","to","be",8
"looks","like","a",8
"me","know","if",8
"might","as","well",8
"more","than","the",8
"name","of","the",8
"need","to","make",8
"not","the","only",8
"of","new","york",8
"of","the","people",8
"of","the","time",8
"of","us","who",8
"on","how","to",8
"on","the","court",8
"on","their","own",8
"one","in","the",8
"one","of","them",8
"out","of","their",8
"people","who","have",8
"really","want","to",8
"reminds","me","of",8
"run","out","of",8
"said","the","city",8
"set","up","the",8
"she","is","a",8
"so","i","can",8
"so","i","had",8
"so","i","thought",8
"so","when","i",8
"some","of","them",8
"something","to","do",8
"tell","you","that",8
"that","had","been",8
"that","is","a",8
"that","it","will",8
"that","they","were",8
"the","best","way",8
"the","course","of",8
"the","fourth","quarter",8
"the","game","and",8
"the","heart","of",8
"the","help","of",8
"the","last","three",8
"the","late","s",8
"the","only","way",8
"the","point","of",8
"the","process","of",8
"the","result","of",8
"the","son","of",8
"the","story","is",8
"the","th","century",8
"the","things","that",8
"the","time","the",8
"the","type","of",8
"the","way","i",8
"the","way","you",8
"the","world","and",8
"the","world","to",8
"them","to","the",8
"there","is","nothing",8
"there","was","the",8
"there","were","a",8
"there","would","be",8
"they","are","the",8
"they","have","no",8
"this","is","not",8
"time","it","was",8
"to","be","an",8
"to","be","done",8
"to","be","more",8
"to","do","something",8
"to","do","that",8
"to","get","some",8
"to","go","and",8
"to","have","been",8
"to","meet","you",8
"to","put","a",8
"to","put","on",8
"to","say","i",8
"to","see","a",8
"to","talk","about",8
"to","those","who",8
"to","understand","the",8
"up","and","down",8
"us","to","the",8
"wait","to","get",8
"want","to","know",8
"want","to","see",8
"wants","to","be",8
"was","a","good",8
"we","wanted","to",8
"were","able","to",8
"were","not","going",8
"when","he","was",8
"will","always","be",8
"with","some","of",8
"you","are","in",8
"you","can","make",8
"you","get","the",8
"you","so","much",8
"a","big","deal",7
"a","fan","of",7
"a","hard","time",7
"a","kind","of",7
"a","time","when",7
"a","total","of",7
"a","way","that",7
"about","a","month",7
"across","the","country",7
"all","kinds","of",7
"all","those","who",7
"along","with","the",7
"an","average","of",7
"and","a","half",7
"and","had","to",7
"and","he","is",7
"and","i","feel",7
"and","i","went",7
"and","i","will",7
"and","it","has",7
"and","it","will",7
"and","lots","of",7
"and","more","than",7
"and","so","on",7
"and","some","of",7
"and","the","first",7
"and","the","new",7
"and","there","are",7
"and","to","all",7
"and","we","have",7
"appears","to","be",7
"are","some","of",7
"are","you","going",7
"as","good","as",7
"as","many","as",7
"as","you","can",7
"at","all","the",7
"at","any","time",7
"at","least","for",7
"at","least","i",7
"at","least","one",7
"at","least","the",7
"at","that","point",7
"at","this","time",7
"back","back","back",7
"be","a","part",7
"be","on","the",7
"be","seen","as",7
"because","he","was",7
"because","of","a",7
"but","i","didnt",7
"but","in","the",7
"but","this","is",7
"came","up","with",7
"can","also","be",7
"can","be","as",7
"cinco","de","mayo",7
"couple","of","days",7
"deal","with","the",7
"dont","even","know",7
"dont","know","about",7
"during","the","season",7
"earlier","this","year",7
"end","of","this",7
"even","though","i",7
"every","time","i",7
"first","day","of",7
"first","time","i",7
"for","a","week",7
"for","you","to",7
"friend","of","mine",7
"game","of","the",7
"get","to","the",7
"go","to","bed",7
"going","back","to",7
"going","to","go",7
"going","to","try",7
"had","the","opportunity",7
"had","to","go",7
"has","always","been",7
"has","yet","to",7
"have","something","to",7
"have","time","to",7
"have","to","get",7
"have","to","take",7
"he","did","not",7
"here","are","some",7
"him","on","the",7
"hope","to","see",7
"how","much","i",7
"hundreds","of","thousands",7
"i","can","tell",7
"i","did","not",7
"i","dont","remember",7
"i","dont","see",7
"i","felt","like",7
"i","got","home",7
"i","guess","i",7
"i","have","one",7
"i","knew","i",7
"i","know","the",7
"i","look","forward",7
"i","looked","at",7
"i","love","to",7
"i","needed","to",7
"i","really","want",7
"i","was","at",7
"i","would","say",7
"if","i","can",7
"if","you","would",7
"ill","have","to",7
"im","not","going",7
"in","response","to",7
"in","the","block",7
"in","the","day",7
"in","the","park",7
"in","the","th",7
"is","about","to",7
"is","actually","a",7
"is","always","a",7
"is","not","to",7
"is","that","a",7
"is","there","a",7
"is","why","we",7
"it","but","i",7
"it","has","to",7
"it","is","an",7
"it","is","to",7
"it","may","be",7
"it","was","all",7
"it","was","great",7
"it","was","in",7
"it","would","have",7
"its","just","a",7
"its","time","for",7
"know","how","to",7
"know","what","i",7
"last","year","and",7
"like","to","have",7
"little","bit","of",7
"live","in","the",7
"look","at","it",7
"lot","of","time",7
"love","to","see",7
"make","a","living",7
"make","sure","that",7
"make","sure","you",7
"many","of","these",7
"may","be","the",7
"may","have","been",7
"may","not","be",7
"me","and","i",7
"me","and","my",7
"me","in","the",7
"me","to","go",7
"men","and","women",7
"minutes","or","until",7
"more","than","people",7
"more","than","years",7
"much","of","it",7
"my","family","and",7
"nature","of","the",7
"need","to","have",7
"new","york","and",7
"next","to","the",7
"no","idea","what",7
"no","need","to",7
"of","it","all",7
"of","my","favorite",7
"of","people","who",7
"of","the","city",7
"of","the","county",7
"of","your","life",7
"on","the","couch",7
"on","the","first",7
"on","the","front",7
"on","the","ground",7
"on","the","left",7
"on","the","list",7
"on","the","menu",7
"on","the","right",7
"on","the","team",7
"one","of","our",7
"one","thing","i",7
"out","how","to",7
"out","that","the",7
"over","and","over",7
"parts","of","the",7
"proud","to","be",7
"put","it","in",7
"said","i","dont",7
"said","that","he",7
"salt","and","pepper",7
"serve","as","a",7
"she","had","a",7
"she","was","a",7
"should","have","been",7
"so","excited","to",7
"so","i","am",7
"so","i","went",7
"so","much","fun",7
"so","that","i",7
"some","kind","of",7
"some","of","my",7
"someone","who","is",7
"st","louis","county",7
"such","as","a",7
"take","a","look",7
"than","any","other",7
"thanks","to","the",7
"that","has","been",7
"that","is","going",7
"that","we","are",7
"that","we","do",7
"the","corner","of",7
"the","end","i",7
"the","first","round",7
"the","head","of",7
"the","house","and",7
"the","idea","that",7
"the","life","of",7
"the","love","of",7
"the","more","i",7
"the","most","part",7
"the","new","jersey",7
"the","other","end",7
"the","other","side",7
"the","past","few",7
"the","possibility","of",7
"the","power","to",7
"the","presence","of",7
"the","regular","season",7
"the","right","of",7
"the","state","of",7
"the","voice","of",7
"the","way","of",7
"the","way","the",7
"the","whole","thing",7
"the","world","in",7
"there","are","two",7
"they","are","not",7
"they","have","to",7
"they","were","not",7
"they","would","be",7
"think","about","it",7
"this","as","a",7
"this","kind","of",7
"this","was","a",7
"this","would","be",7
"those","who","are",7
"time","for","the",7
"to","all","those",7
"to","an","end",7
"to","begin","with",7
"to","bring","the",7
"to","develop","a",7
"to","do","what",7
"to","focus","on",7
"to","get","in",7
"to","get","it",7
"to","get","more",7
"to","get","out",7
"to","get","your",7
"to","go","back",7
"to","him","and",7
"to","keep","him",7
"to","make","them",7
"to","make","up",7
"to","pick","up",7
"to","see","my",7
"to","share","with",7
"to","sit","down",7
"to","take","care",7
"to","tell","me",7
"to","the","city",7
"to","the","hospital",7
"to","the","us",7
"to","wake","up",7
"to","watch","the",7
"two","of","the",7
"two","weeks","ago",7
"two","years","ago",7
"used","to","be",7
"vice","president","of",7
"want","to","look",7
"wanted","to","do",7
"was","also","a",7
"was","in","a",7
"was","on","the",7
"was","ready","to",7
"was","supposed","to",7
"was","the","most",7
"was","the","only",7
"we","could","have",7
"we","decided","to",7
"we","do","not",7
"we","dont","have",7
"we","dont","know",7
"we","would","have",7
"were","on","the",7
"what","do","i",7
"what","is","the",7
"what","it","is",7
"what","it","was",7
"what","was","the",7
"what","you","think",7
"when","i","got",7
"when","you","are",7
"where","there","is",7
"which","has","been",7
"who","is","the",7
"will","be","able",7
"will","be","available",7
"will","have","the",7
"with","a","little",7
"with","a","new",7
"with","each","other",7
"with","me","i",7
"working","on","the",7
"would","be","the",7
"written","in","the",7
"you","go","to",7
"you","will","find",7
"you","would","like",7
"a","big","fan",6
"a","bit","more",6
"a","copy","of",6
"a","few","months",6
"a","few","more",6
"a","great","deal",6
"a","lot","more",6
"a","measure","of",6
"a","plan","to",6
"a","very","good",6
"a","week","ago",6
"about","million","in",6
"about","to","get",6
"all","of","this",6
"always","been","a",6
"an","effort","to",6
"and","asked","if",6
"and","at","the",6
"and","have","a",6
"and","his","wife",6
"and","i","cant",6
"and","i","hope",6
"and","i","just",6
"and","i","really",6
"and","ive","been",6
"and","no","one",6
"and","she","was",6
"and","that","i",6
"and","that","was",6
"and","the","fact",6
"and","then","we",6
"and","then","you",6
"and","there","is",6
"and","those","who",6
"and","we","are",6
"and","you","can",6
"and","you","get",6
"anniversary","of","the",6
"are","looking","for",6
"arrived","at","the",6
"as","he","was",6
"as","i","have",6
"as","many","people",6
"as","she","was",6
"as","we","can",6
"asked","if","i",6
"at","least","a",6
"at","least","two",6
"at","that","time",6
"at","the","other",6
"back","and","forth",6
"back","into","the",6
"based","on","a",6
"be","a","bit",6
"be","a","major",6
"be","held","at",6
"be","part","of",6
"be","the","best",6
"be","used","to",6
"because","they","are",6
"because","they","were",6
"been","a","long",6
"being","in","the",6
"believe","that","god",6
"but","i","am",6
"but","i","can",6
"but","i","do",6
"but","i","dont",6
"but","its","not",6
"but","that","is",6
"but","they","do",6
"but","you","can",6
"by","the","fact",6
"campaign","buzz","march",6
"can","be","done",6
"cents","per","share",6
"chamber","of","commerce",6
"contributed","to","this",6
"couple","of","times",6
"did","i","mention",6
"did","you","see",6
"didnt","have","a",6
"do","i","have",6
"do","the","same",6
"dont","have","the",6
"dont","need","a",6
"down","the","road",6
"down","to","the",6
"each","of","us",6
"earlier","in","the",6
"even","if","you",6
"even","though","it",6
"everyone","has","a",6
"exactly","what","i",6
"executive","director","of",6
"fact","that","the",6
"family","and","friends",6
"feel","like","a",6
"feel","like","im",6
"figure","out","how",6
"for","a","great",6
"for","a","quick",6
"for","a","second",6
"for","about","a",6
"for","about","minutes",6
"for","all","the",6
"for","most","of",6
"for","the","day",6
"for","the","new",6
"for","the","record",6
"for","the","show",6
"for","to","minutes",6
"friends","and","family",6
"from","am","to",6
"gave","him","a",6
"get","rid","of",6
"get","up","and",6
"go","for","a",6
"goal","is","to",6
"goes","to","the",6
"had","a","few",6
"had","already","been",6
"hall","of","famer",6
"hard","to","find",6
"has","a","lot",6
"has","to","do",6
"have","a","good",6
"have","always","been",6
"have","never","been",6
"have","so","much",6
"have","to","admit",6
"have","to","go",6
"have","to","pay",6
"have","to","work",6
"he","and","his",6
"he","didnt","want",6
"he","had","to",6
"he","is","the",6
"he","refused","to",6
"he","said","but",6
"he","said","its",6
"he","told","me",6
"he","wanted","to",6
"he","was","an",6
"he","was","given",6
"he","was","going",6
"he","will","be",6
"heading","to","the",6
"hes","going","to",6
"him","and","his",6
"him","as","a",6
"hope","you","have",6
"how","i","feel",6
"how","many","times",6
"i","could","get",6
"i","didnt","get",6
"i","do","have",6
"i","found","the",6
"i","get","a",6
"i","hope","to",6
"i","just","want",6
"i","know","what",6
"i","live","in",6
"i","saw","a",6
"i","should","have",6
"i","told","them",6
"i","was","out",6
"i","was","very",6
"i","went","into",6
"if","i","dont",6
"if","i","ever",6
"if","they","are",6
"if","you","get",6
"im","pretty","sure",6
"in","a","long",6
"in","a","statement",6
"in","an","email",6
"in","fact","the",6
"in","more","than",6
"in","my","heart",6
"in","my","own",6
"in","on","the",6
"in","the","back",6
"in","the","background",6
"in","the","big",6
"in","the","car",6
"in","the","fall",6
"in","the","final",6
"in","the","front",6
"in","the","ninth",6
"in","the","right",6
"in","the","season",6
"in","this","country",6
"in","this","world",6
"in","time","for",6
"in","which","he",6
"is","a","little",6
"is","all","about",6
"is","at","the",6
"is","full","of",6
"is","just","a",6
"is","more","than",6
"is","my","favorite",6
"is","not","an",6
"is","one","thing",6
"is","probably","the",6
"is","scheduled","for",6
