"unigram","bigram","trigram","quadgram","freq"
"but","allah","and","i",4
"but","at","the","same",4
"but","that","doesnt","mean",4
"by","some","of","the",4
"by","the","time","i",4
"couple","of","weeks","ago",4
"did","a","great","job",4
"dont","want","to","do",4
"dow","jones","industrial","average",4
"end","of","the","world",4
"end","of","the","year",4
"for","some","reason","i",4
"for","the","last","three",4
"for","those","who","are",4
"from","all","over","the",4
"from","the","university","of",4
"g","fat","g","saturated",4
"go","back","to","the",4
"god","but","allah","and",4
"going","to","try","to",4
"had","a","great","time",4
"happy","mothers","day","to",4
"has","a","lot","of",4
"has","always","been","a",4
"have","a","great","time",4
"have","a","hard","time",4
"have","to","say","i",4
"hope","to","see","you",4
"i","am","not","a",4
"i","cant","wait","for",4
"i","didnt","have","a",4
"i","dont","have","a",4
"i","dont","think","so",4
"i","dont","think","we",4
"i","feel","like","im",4
"i","had","a","dream",4
"i","have","a","lot",4
"i","have","to","admit",4
"i","just","need","to",4
"i","just","want","to",4
"i","just","wanted","to",4
"i","think","it","is",4
"i","think","its","a",4
"i","thought","i","was",4
"i","thought","i","would",4
"i","want","to","do",4
"i","went","to","the",4
"if","you","are","not",4
"if","youre","going","to",4
"im","not","going","to",4
"in","a","few","weeks",4
"in","a","long","time",4
"in","a","series","of",4
"in","a","way","that",4
"in","the","back","of",4
"in","the","basement","of",4
"in","the","end","i",4
"in","the","hands","of",4
"in","the","heart","of",4
"in","the","lives","of",4
"in","the","long","run",4
"in","the","st","century",4
"in","the","th","century",4
"in","the","world","that",4
"in","time","for","the",4
"interesting","to","see","how",4
"is","a","great","place",4
"is","likely","to","be",4
"is","part","of","the",4
"is","the","first","time",4
"it","has","to","be",4
"it","is","time","to",4
"it","was","a","bit",4
"it","was","a","great",4
"it","was","great","to",4
"it","was","time","for",4
"it","we","could","have",4
"its","been","a","while",4
"its","one","of","the",4
"just","in","time","for",4
"just","let","me","know",4
"know","that","it","is",4
"may","or","may","not",4
"more","likely","to","be",4
"more","than","a","decade",4
"more","than","a","week",4
"more","than","million","in",4
"more","to","do","with",4
"muhammad","is","his","messenger",4
"needs","to","be","a",4
"nice","to","meet","you",4
"no","choice","but","to",4
"no","one","wants","to",4
"not","just","because","of",4
"not","to","mention","the",4
"nothing","to","do","with",4
"of","a","heart","attack",4
"of","the","united","states",4
"of","thousands","of","dollars",4
"on","my","way","to",4
"on","the","new","york",4
"on","top","of","the",4
"on","what","to","do",4
"one","of","the","few",4
"open","to","the","public",4
"or","cents","per","share",4
"out","of","the","house",4
"over","and","over","again",4
"over","the","next","two",4
"part","of","the","process",4
"remember","the","last","time",4
"said","in","a","statement",4
"south","carolina","gamecocks","history",4
"spent","a","lot","of",4
"thank","you","so","much",4
"thanks","for","a","great",4
"thanks","for","the","ff",4
"that","i","had","to",4
"that","in","order","to",4
"that","is","why","we",4
"that","it","is","the",4
"that","it","would","be",4
"that","muhammad","is","his",4
"that","would","be","a",4
"the","beginning","of","the",4
"the","book","of","mormon",4
"the","course","of","the",4
"the","district","of","columbia",4
"the","dow","jones","industrial",4
"the","fact","that","he",4
"the","first","day","of",4
"the","first","quarter","of",4
"the","first","time","and",4
"the","fourth","quarter","of",4
"the","good","news","is",4
"the","head","of","the",4
"the","help","of","a",4
"the","last","time","i",4
"the","members","of","the",4
"the","only","way","to",4
"the","rest","of","us",4
"the","s","and","s",4
"the","side","of","the",4
"the","size","of","a",4
"the","south","carolina","gamecocks",4
"the","th","anniversary","of",4
"the","time","of","the",4
"the","time","they","were",4
"the","us","department","of",4
"there","will","be","a",4
"there","would","be","no",4
"this","is","a","good",4
"this","is","a","very",4
"this","is","the","best",4
"this","is","what","i",4
"those","who","want","to",4
"thought","it","was","a",4
"time","for","me","to",4
"to","a","lot","of",4
"to","all","of","you",4
"to","all","those","who",4
"to","be","a","good",4
"to","be","one","of",4
"to","be","the","best",4
"to","deal","with","the",4
"to","do","the","same",4
"to","give","them","a",4
"to","go","back","to",4
"to","go","to","work",4
"to","keep","up","with",4
"to","learn","how","to",4
"to","learn","more","about",4
"to","make","sense","of",4
"to","make","sure","the",4
"to","one","of","the",4
"to","share","it","with",4
"to","take","a","picture",4
"to","the","fact","that",4
"to","the","top","of",4
"under","the","influence","of",4
"want","to","do","it",4
"want","to","go","to",4
"was","one","of","the",4
"way","back","to","the",4
"we","were","able","to",4
"were","going","to","do",4
"when","i","got","home",4
"who","grew","up","in",4
"with","a","lot","of",4
"with","the","exception","of",4
"with","the","help","of",4
"witness","that","muhammad","is",4
"wont","be","able","to",4
"you","dont","have","to",4
"you","have","a","great",4
"you","need","to","be",4
"you","want","to","get",4
"a","call","from","a",3
"a","chance","of","rain",3
"a","chance","to","win",3
"a","copy","of","the",3
"a","couple","of","years",3
"a","few","of","my",3
"a","few","of","the",3
"a","few","weeks","ago",3
"a","friend","of","mine",3
"a","good","idea","to",3
"a","good","time","to",3
"a","long","time","coming",3
"a","lot","of","money",3
"a","lot","of","these",3
"a","lot","of","times",3
"a","matter","of","time",3
"a","part","of","it",3
"a","part","of","my",3
"a","result","of","a",3
"a","result","of","the",3
"a","small","portion","of",3
"a","turning","point","for",3
"a","whole","lot","of",3
"about","minutes","stir","in",3
"about","some","of","the",3
"about","the","fact","that",3
"about","the","importance","of",3
"about","the","size","of",3
"according","to","court","records",3
"add","the","garlic","and",3
"alan","alan","alan","alan",3
"all","of","a","sudden",3
"all","of","you","who",3
"all","the","way","back",3
"all","you","need","is",3
"allow","it","we","could",3
"an","hour","plus","tips",3
"an","opposing","teams","communication",3
"and","all","the","other",3
"and","he","didnt","want",3
"and","he","is","the",3
"and","i","try","to",3
"and","i","want","you",3
"and","if","it","is",3
"and","it","looks","like",3
"and","it","was","a",3
"and","let","me","know",3
"and","not","just","because",3
"and","of","course","the",3
"and","one","of","the",3
"and","possession","with","intent",3
"and","thank","you","for",3
"and","the","price","is",3
"and","there","was","no",3
"and","those","who","have",3
"and","to","all","the",3
"and","to","have","a",3
"and","were","going","to",3
"and","you","have","a",3
"any","of","the","other",3
"are","a","few","of",3
"are","a","number","of",3
"are","going","to","find",3
"are","you","planning","on",3
"as","a","means","of",3
"as","for","me","i",3
"as","i","could","i",3
"as","long","as","the",3
"as","long","as","they",3
"as","much","as","he",3
"as","part","of","its",3
"as","soon","as","you",3
"asked","if","i","could",3
"at","a","time","when",3
"at","the","beginning","of",3
"at","the","bottom","of",3
"at","the","end","i",3
"at","the","expense","of",3
"at","the","moment","the",3
"at","the","time","the",3
"at","this","point","i",3
"back","in","the","day",3
"be","able","to","keep",3
"be","the","type","of",3
"because","he","was","the",3
"both","sides","of","the",3
"but","as","far","as",3
"but","i","have","to",3
"but","i","think","its",3
"but","if","you","want",3
"but","it","can","be",3
"but","it","was","a",3
"but","it","was","not",3
"but","its","not","the",3
"but","there","is","no",3
"but","they","need","to",3
"by","the","way","the",3
"calories","g","fat","g",3
"came","up","with","the",3
"can","be","a","bit",3
"can","be","done","in",3
"can","be","reached","at",3
"can","i","get","a",3
"cant","wait","for","the",3
"caring","about","people","is",3
"coach","of","the","year",3
"come","out","of","the",3
"coming","to","an","end",3
"company","that","owns","the",3
"county","medical","examiners","office",3
"day","to","all","the",3
"decided","to","make","it",3
"did","not","want","to",3
"do","not","want","to",3
"do","you","have","to",3
"do","you","know","what",3
"doesnt","have","to","be",3
"dont","know","much","about",3
"early","in","the","morning",3
"end","of","this","year",3
"ended","up","on","the",3
"even","if","it","is",3
"even","though","i","dont",3
"executive","director","of","the",3
"fall","in","love","with",3
"far","better","to","be",3
"food","and","drug","administration",3
"for","a","few","minutes",3
"for","a","few","weeks",3
"for","a","number","of",3
"for","a","short","time",3
"for","a","very","long",3
"for","a","while","but",3
"for","about","a","year",3
"for","as","long","as",3
"for","at","least","minutes",3
"for","better","or","worse",3
"for","me","i","am",3
"for","more","information","call",3
"for","most","of","the",3
"for","some","of","the",3
"for","the","city","to",3
"for","the","follow","back",3
"for","those","who","want",3
"for","to","minutes","or",3
"forward","to","your","tweets",3
"from","a","year","ago",3
"from","around","the","world",3
"from","branch","to","branch",3
"from","his","home","in",3
"from","pm","to","pm",3
"from","the","department","of",3
"from","the","st","louis",3
"g","protein","g","carbohydrate",3
"game","of","the","season",3
"games","in","a","row",3
"gas","and","electric","co",3
"get","my","hands","on",3
"go","with","the","flow",3
"going","to","have","a",3
"great","place","to","start",3
"happens","to","be","a",3
"has","pleaded","not","guilty",3
"has","the","power","to",3
"has","the","right","to",3
"have","a","chance","to",3
"have","a","great","weekend",3
"have","a","talk","with",3
"have","been","able","to",3
"have","no","idea","where",3
"have","something","to","do",3
"have","to","deal","with",3
"have","to","go","to",3
"have","to","listen","to",3
"have","to","make","a",3
"he","has","a","lot",3
"he","refused","to","be",3
"he","said","i","think",3
"he","said","it","was",3
"he","wants","to","win",3
"he","was","involved","in",3
"he","went","on","to",3
"here","are","some","of",3
"hes","not","allowed","to",3
"hit","by","a","car",3
"hope","everyone","has","a",3
"house","speaker","john","boehner",3
"how","i","feel","about",3
"i","am","not","going",3
"i","am","trying","to",3
"i","can","see","the",3
"i","can","show","you",3
"i","cant","remember","the",3
"i","cant","tell","you",3
"i","could","get","a",3
"i","could","see","the",3
"i","couldnt","believe","it",3
"i","dont","even","know",3
"i","dont","know","but",3
"i","dont","know","i",3
"i","dont","know","much",3
"i","dont","know","why",3
"i","dont","think","i",3
"i","feel","like","a",3
"i","feel","like","i",3
"i","got","home","i",3
"i","had","no","choice",3
"i","had","no","idea",3
"i","had","the","opportunity",3
"i","had","to","do",3
"i","had","to","go",3
"i","have","so","much",3
"i","hope","people","will",3
"i","hope","that","you",3
"i","hope","you","can",3
"i","just","have","to",3
"i","know","i","am",3
"i","like","to","call",3
"i","might","as","well",3
"i","picked","it","up",3
"i","really","need","to",3
"i","think","i","have",3
"i","think","i","should",3
"i","think","it","will",3
"i","used","to","be",3
"i","want","to","thank",3
"i","wanted","to","write",3
"i","was","at","a",3
"i","was","out","of",3
"i","was","ready","to",3
"i","was","working","on",3
"i","went","to","a",3
"if","i","had","the",3
"if","you","are","happy",3
"if","you","are","in",3
"if","you","can","find",3
"if","you","happen","to",3
"if","you","look","at",3
"if","you","want","a",3
"ill","be","able","to",3
"im","a","big","fan",3
"im","going","to","try",3
"im","not","talking","about",3
"im","proud","to","be",3
"im","so","excited","to",3
"in","a","few","days",3
"in","a","letter","to",3
"in","a","lot","of",3
"in","and","out","of",3
"in","cooperation","with","the",3
"in","front","of","him",3
"in","front","of","his",3
"in","front","of","me",3
"in","front","of","you",3
"in","gop","republican","presidential",3
"in","love","with","the",3
"in","my","life","i",3
"in","new","york","and",3
"in","order","to","create",3
"in","order","to","protect",3
"in","real","life","and",3
"in","spite","of","the",3
"in","the","book","of",3
"in","the","bottom","of",3
"in","the","charge","office",3
"in","the","city","of",3
"in","the","death","of",3
"in","the","fight","against",3
"in","the","first","half",3
"in","the","interest","of",3
"in","the","light","of",3
"in","the","mean","time",3
"in","the","middle","east",3
"in","the","morning","and",3
"in","the","new","year",3
"in","the","ninth","inning",3
"in","the","past","decade",3
"in","the","process","of",3
"in","the","short","term",3
"in","the","world","and",3
"in","this","day","and",3
"in","your","life","and",3
"is","a","good","time",3
"is","about","to","get",3
"is","alive","and","well",3
"is","being","able","to",3
"is","essentially","the","same",3
"is","expected","to","be",3
"is","going","to","make",3
"is","no","need","to",3
"is","no","such","thing",3
"is","one","of","those",3
"is","out","of","control",3
"is","out","of","the",3
"is","that","no","one",3
"it","can","be","a",3
"it","comes","to","the",3
"it","didnt","take","long",3
"it","has","been","a",3
"it","in","the","future",3
"it","is","a","good",3
"it","is","a","simple",3
"it","is","a","very",3
"it","is","easy","to",3
"it","is","important","to",3
"it","might","have","been",3
"it","needs","to","be",3
"it","one","of","the",3
"it","was","a","good",3
"it","was","based","on",3
"it","was","going","to",3
"its","been","a","long",3
"its","going","to","take",3
"its","not","going","to",3
"its","not","the","same",3
"its","time","for","a",3
"just","a","matter","of",3
"just","need","to","get",3
"just","trying","to","get",3
"just","when","you","think",3
"know","that","you","can",3
"know","what","you","think",3
"knows","that","they","worked",3
"less","than","an","hour",3
"like","to","have","a",3
"like","to","hear","about",3
"likely","to","be","stopped",3
"look","at","all","the",3
"look","at","it","as",3
"looking","forward","to","it",3
"lots","and","lots","of",3
"make","it","clear","that",3
"make","it","easier","for",3
"matter","of","time","before",3
"may","be","able","to",3
"me","as","much","as",3
"me","know","if","you",3
"might","be","able","to",3
"might","have","been","the",3
"more","of","the","same",3
"more","than","a","year",3
"more","than","any","other",3
"more","than","half","of",3
"more","than","years","ago",3
"mothers","day","to","all",3
"my","husband","and","i",3
"my","job","is","to",3
"need","to","be","a",3
"never","been","able","to",3
"never","thought","id","be",3
"new","york","stock","exchange",3
"no","matter","what","your",3
"no","one","was","injured",3
"no","such","thing","as",3
"not","going","to","be",3
"now","is","the","time",3
"now","that","i","have",3
"obama","regime","wouldnt","allow",3
"of","and","possession","with",3
"of","course","there","are",3
"of","irish","dance","in",3
"of","passes","for","yards",3
"of","percent","to","percent",3
"of","some","of","the",3
"of","the","day","i",3
"of","the","game","and",3
"of","the","new","york",3
"of","the","race","of",3
"of","the","regular","season",3
"of","the","season","to",3
"of","the","tribe","of",3
"of","your","life","for",3
"oh","how","i","love",3
"on","a","bed","of",3
"on","a","daily","basis",3
"on","a","saturday","night",3
"on","the","couch","and",3
"on","the","east","coast",3
"on","the","face","of",3
"on","the","first","day",3
"on","the","floor","and",3
"on","the","one","hand",3
"on","the","side","of",3
"on","the","streets","of",3
"on","the","verge","of",3
"on","the","way","to",3
"on","top","of","me",3
"once","in","a","while",3
"one","of","my","favorite",3
"one","of","the","biggest",3
"one","of","the","earliest",3
"one","of","the","first",3
"one","of","the","great",3
"one","of","the","main",3
"one","of","the","things",3
"one","of","the","worst",3
"one","of","these","days",3
"one","out","of","every",3
"only","to","find","out",3
"other","side","of","the",3
"our","way","to","the",3
"out","of","the","box",3
"out","of","the","water",3
"out","of","the","way",3
"over","the","next","few",3
"over","the","past","decade",3
"over","the","past","two",3
"pacific","gas","and","electric",3
"part","of","my","life",3
"people","in","the","us",3
"percent","from","a","year",3
"player","of","the","year",3
"pointed","out","that","the",3
"possession","of","and","possession",3
"possession","with","intent","to",3
"protein","g","carbohydrate","g",3
"put","it","in","the",3
"reached","out","to","the",3
"really","looking","forward","to",3
"regime","wouldnt","allow","it",3
"rolling","in","the","deep",3
"run","out","of","food",3
"said","he","had","not",3
"said","i","have","to",3
"said","i","think","its",3
"said","in","an","interview",3
"said","it","was","a",3
"said","there","are","no",3
"school","of","irish","dance",3
"sentenced","to","life","in",3
"share","it","with","you",3
"she","didnt","want","to",3
"she","said","it","was",3
"show","the","world","what",3
"so","excited","to","see",3
"so","i","dont","know",3
"so","i","had","to",3
"so","i","went","to",3
"so","it","would","be",3
"so","that","we","can",3
"so","you","can","see",3
"some","of","the","best",3
"some","of","the","other",3
"such","a","thing","as",3
"such","a","way","that",3
"super","tuesday","speech","remarks",3
"take","care","of","your",3
"telecommuter","tax","fairness","act",3
"than","people","in","the",3
"that","i","had","a",3
"that","i","wanted","to",3
"that","is","why","i",3
"that","the","united","states",3
"that","there","is","a",3
"that","they","worked","together",3
"that","this","is","the",3
"that","we","do","not",3
"that","were","going","to",3
"that","would","lead","to",3
"the","absence","of","any",3
"the","back","of","a",3
"the","beginning","of","a",3
"the","client","list","is",3
"the","company","that","owns",3
"the","construction","of","a",3
"the","day","of","the",3
"the","democratic","national","convention",3
"the","edge","of","the",3
"the","end","of","my",3
"the","end","of","their",3
"the","fact","is","that",3
"the","fact","that","i",3
"the","fact","that","ive",3
"the","fatal","shooting","of",3
"the","first","time","we",3
"the","full","extent","of",3
"the","heart","of","the",3
"the","hell","out","of",3
"the","idea","of","a",3
"the","idea","that","the",3
"the","last","couple","of",3
"the","last","three","years",3
"the","middle","of","the",3
"the","most","important","thing",3
"the","most","part","i",3
"the","new","york","yankees",3
"the","next","day","and",3
"the","next","few","weeks",3
"the","next","two","years",3
"the","night","of","the",3
"the","obama","regime","wouldnt",3
"the","one","with","the",3
"the","only","one","who",3
"the","opening","of","the",3
"the","other","side","of",3
"the","oven","to","degrees",3
"the","past","two","years",3
"the","people","in","the",3
"the","price","of","a",3
"the","same","as","the",3
"the","same","time","i",3
"the","same","time","the",3
"the","st","louis","area",3
"the","telecommuter","tax","fairness",3
"the","things","that","i",3
"the","united","states","and",3
"the","us","attorneys","office",3
"the","way","back","to",3
"the","way","to","go",3
"the","way","to","the",3
"there","are","a","number",3
"there","are","too","many",3
"there","is","always","a",3
"there","is","no","need",3
"there","is","no","such",3
"there","is","not","a",3
"theres","nothing","wrong","with",3
"they","are","going","to",3
"they","have","to","be",3
"they","need","to","be",3
"they","were","going","to",3
"think","like","a","man",3
"this","day","and","age",3
"this","is","an","amazing",3
"this","is","not","a",3
"this","will","be","a",3
"through","the","use","of",3
"time","with","me","and",3
"to","all","of","our",3
"to","be","a","very",3
"to","be","involved","in",3
"to","be","sure","but",3
"to","become","one","of",3
"to","call","it","a",3
"to","come","out","of",3
"to","comment","on","the",3
"to","compete","in","the",3
"to","figure","out","how",3
"to","find","out","that",3
"to","get","into","the",3
"to","get","rid","of",3
"to","get","up","and",3
"to","give","me","the",3
"to","go","for","a",3
"to","go","to","a",3
"to","hang","out","with",3
"to","help","pay","for",3
"to","him","and","he",3
"to","make","it","happen",3
"to","make","sure","i",3
"to","million","from","million",3
"to","minutes","or","until",3
"to","new","york","city",3
"to","pay","for","a",3
"to","play","in","the",3
"to","run","away","from",3
"to","see","how","many",3
"to","see","if","it",3
"to","set","up","the",3
"to","sit","down","and",3
"to","some","of","the",3
"to","spend","some","time",3
"to","tell","you","that",3
"to","the","best","of",3
"to","the","disabled","list",3
"to","the","end","of",3
"to","the","right","of",3
"to","think","of","a",3
"to","work","on","her",3
"to","work","with","the",3
"today","is","going","to",3
"towards","the","end","of",3
"turn","out","to","be",3
"two","weeks","ago","the",3
"up","with","the","idea",3
"us","department","of","justice",3
"used","to","be","a",3
"want","to","be","a",3
"want","to","be","the",3
"want","you","to","know",3
"wants","to","win","that",3
"was","out","of","the",3
"was","time","for","a",3
"way","to","get","a",3
"we","are","supposed","to",3
"we","are","talking","about",3
"we","headed","to","the",3
"we","know","we","have",3
"we","will","be","there",3
"were","a","lot","of",3
"were","going","to","be",3
"were","going","to","keep",3
"were","going","to","look",3
"were","sealed","twelve","thousand",3
"what","do","i","do",3
"what","it","takes","to",3
"what","they","want","to",3
"whats","going","on","in",3
"when","he","took","over",3
"when","i","was","little",3
"when","you","go","to",3
"when","you","were","a",3
"where","i","want","to",3
"which","i","think","is",3
"will","always","love","you",3
"will","be","held","on",3
"will","not","be","able",3
"will","tell","you","that",3
"with","a","glass","of",3
"with","a","high","of",3
"with","intent","to","distribute",3
"with","salt","and","pepper",3
"with","some","of","his",3
"with","some","of","the",3
"with","the","fact","that",3
"with","the","rest","of",3
"would","be","fun","to",3
"would","like","to","be",3
"would","like","to","give",3
"would","like","to","have",3
"wouldnt","allow","it","we",3
"you","have","no","idea",3
"you","have","to","take",3
"you","know","what","i",3
"you","look","at","the",3
"you","may","want","to",3
"you","might","want","to",3
"you","to","know","that",3
"you","want","me","to",3
"youre","going","to","get",3
"a","better","place","in",2
"a","big","chunk","of",2
"a","bit","of","sewing",2
"a","bit","of","the",2
"a","black","market","a",2
"a","blast","at","the",2
"a","boardcertified","specialist","in",2
"a","certain","amount","of",2
"a","certain","stress","of",2
"a","chance","to","see",2
"a","check","for","that",2
"a","close","up","of",2
"a","comment","about","them",2
"a","comment","and","we",2
"a","copy","of","a",2
"a","couple","of","hours",2
"a","couple","of","old",2
"a","crowd","of","at",2
"a","earnedrun","average","in",2
"a","fair","amount","of",2
"a","feecharging","literary","agency",2
"a","feeling","that","the",2
"a","few","days","away",2
"a","few","minutes","to",2
"a","few","minutes","use",2
"a","few","weeks","but",2
"a","few","years","back",2
"a","few","years","from",2
"a","final","decision","is",2
"a","flight","of","stairs",2
"a","free","fivesong","miniconcert",2
"a","freshly","minted","american",2
"a","girl","i","can",2
"a","glass","of","wine",2
"a","good","day","for",2
"a","good","friend","of",2
"a","good","place","to",2
"a","great","day","with",2
"a","great","example","of",2
"a","great","time","in",2
"a","great","time","it",2
"a","great","time","with",2
"a","great","way","to",2
"a","greater","boon","to",2
"a","group","of","three",2
"a","hand","on","the",2
"a","hard","time","remembering",2
"a","hearing","on","the",2
"a","heart","attack","in",2
"a","high","school","student",2
"a","highpressure","water","test",2
"a","hot","summer","day",2
"a","huge","pile","of",2
"a","human","soul","must",2
"a","kick","out","of",2
"a","large","mixing","bowl",2
"a","large","pot","of",2
"a","law","that","says",2
"a","legal","lottery","defeated",2
"a","legal","market","though",2
"a","legitimate","expression","of",2
"a","link","to","the",2
"a","list","of","all",2
"a","list","of","the",2
"a","little","bit","more",2
"a","little","while","back",2
"a","living","salaries","top",2
"a","long","time","since",2
"a","long","way","since",2
"a","look","at","all",2
"a","lot","about","this",2
"a","lot","of","bad",2
"a","lot","of","beer",2
"a","lot","of","credit",2
"a","lot","of","families",2
"a","lot","of","good",2
"a","lot","of","history",2
"a","lot","of","my",2
"a","lot","of","pressure",2
"a","lot","of","work",2
"a","lot","to","learn",2
"a","lot","to","the",2
"a","loved","one","is",2
"a","man","and","a",2
"a","man","we","were",2
"a","man","who","says",2
"a","means","for","sites",2
"a","measure","of","the",2
